symbol,symbol_1,symbol_2,ranking_stat,avg_adf,avg_freq,volume,industry_1,industry_2,sector_1,sector_2
CTAS-SHW,CTAS,SHW,70.10455138955027,0.19766698245602021,7.4800000000000004,209423.0,Diversified Commercial Services,Specialty Chemicals,Industrials,Materials
NKE-SHW,NKE,SHW,70.10427671634406,0.12228288437876784,7.2800000000000002,209423.0,"Apparel, Accessories & Luxury Goods",Specialty Chemicals,Consumer Discretionary,Materials
CMI-TMK,CMI,TMK,70.08063105625607,0.3149441710151662,7.0800000000000001,153397.0,Industrial Machinery,Life & Health Insurance,Industrials,Financials
CTAS-PLL,CTAS,PLL,70.07136113407871,0.2513087885380112,7.2400000000000002,280485.0,Diversified Commercial Services,Industrial Conglomerates,Industrials,Industrials
FDX-WAT,FDX,WAT,70.01584933129402,0.19271724610084945,7.1600000000000001,171164.0,Air Freight & Logistics,Health Care Distributors & Services,Industrials,Health Care
CTAS-L,CTAS,L,69.98659427668125,0.16771791359852753,6.5999999999999996,288647.0,Diversified Commercial Services,Multi-Sector Holdings,Industrials,Financials
AIZ-FDX,AIZ,FDX,69.96315489954142,0.1222047630968274,6.7599999999999998,212123.0,Multi-line Insurance,Air Freight & Logistics,Financials,Industrials
GWW-HRL,GWW,HRL,69.94305330252338,0.15262183375397317,7.9199999999999999,180537.0,Industrial Materials,Packaged Foods & Meats,Industrials,Consumer Staples
GPC-IFF,GPC,IFF,69.89479830050877,0.16661948220023035,7.5599999999999996,164880.0,Specialty Stores,Specialty Chemicals,Consumer Discretionary,Materials
CMI-ROP,CMI,ROP,69.8581499248838,0.26533800777662547,6.8399999999999999,143471.0,Industrial Machinery,Industrial Conglomerates,Industrials,Industrials
GWW-JEC,GWW,JEC,69.84974528538699,0.18243249804040168,7.04,180537.0,Industrial Materials,Industrial Conglomerates,Industrials,Industrials
GWW-HON,GWW,HON,69.83683312141194,0.2169436620533729,7.5199999999999996,180537.0,Industrial Materials,Industrial Conglomerates,Industrials,Industrials
AIZ-PNC,AIZ,PNC,69.79739188853303,0.20915559202517911,6.3200000000000003,212123.0,Multi-line Insurance,Banks,Financials,Financials
DD-SHW,DD,SHW,69.78778715777118,0.16044487858568834,7.2000000000000002,209423.0,Diversified Chemicals,Specialty Chemicals,Materials,Materials
AIZ-WAT,AIZ,WAT,69.77269001634416,0.16826437819028642,7.1600000000000001,171164.0,Multi-line Insurance,Health Care Distributors & Services,Financials,Health Care
FDX-SJM,FDX,SJM,69.71691631507248,0.29923154061544671,7.0800000000000001,288762.0,Air Freight & Logistics,Packaged Foods & Meats,Industrials,Consumer Staples
EFX-TMK,EFX,TMK,69.707254423219,0.27376078248822927,7.0800000000000001,153397.0,Diversified Financial Services,Life & Health Insurance,Financials,Financials
ALL-SRCL,ALL,SRCL,69.67820271424662,0.23872254389348324,6.9199999999999999,177809.0,Property & Casualty Insurance,Industrial Conglomerates,Financials,Industrials
ETN-PLL,ETN,PLL,69.62924739857701,0.19666815526337886,6.5199999999999996,280485.0,Industrial Conglomerates,Industrial Conglomerates,Industrials,Industrials
CF-SRCL,CF,SRCL,69.58648490554461,0.30377286826450273,6.96,177809.0,Fertilizers & Agricultural Chemicals,Industrial Conglomerates,Materials,Industrials
GWW-WAT,GWW,WAT,69.54882655889998,0.29712399453375204,7.4000000000000004,171164.0,Industrial Materials,Health Care Distributors & Services,Industrials,Health Care
CINF-SRCL,CINF,SRCL,69.53335150457026,0.22594326182919844,7.3600000000000003,177809.0,Property & Casualty Insurance,Industrial Conglomerates,Financials,Industrials
CTAS-EBAY,CTAS,EBAY,69.52039900871937,0.13831633244712371,6.8799999999999999,288647.0,Diversified Commercial Services,Internet Software & Services,Industrials,Information Technology
CSC-PSX,CSC,PSX,69.51536411395583,0.20117183342974973,6.5999999999999996,512500.0,IT Consulting & Services,Oil & Gas Refining & Marketing & Transportation,Information Technology,Energy
GAS-MAC,GAS,MAC,69.50986001224359,0.27238466889782226,6.6799999999999997,309305.0,Gas Utilities,Retail REITs,Utilities,Financials
CTAS-ZMH,CTAS,ZMH,69.48550410985993,0.19272424412471409,7.4000000000000004,288647.0,Diversified Commercial Services,Health Care Equipment & Services,Industrials,Health Care
