symbol,symbol_1,symbol_2,adf_stat,adf_p,industry_1,industry_2,sector_1,sector_2
BRCM-MON,BRCM,MON,-4.140817608718663,0.0008285289602001343,Semiconductors,Fertilizers & Agricultural Chemicals,Information Technology,Materials
CSC-MON,CSC,MON,-4.140577295963253,0.0008292945904355255,IT Consulting & Services,Fertilizers & Agricultural Chemicals,Information Technology,Materials
BHI-CB,BHI,CB,-4.140479323236304,0.0008296069193656538,Oil & Gas Equipment & Services,Property & Casualty Insurance,Energy,Financials
PFG-STZ,PFG,STZ,-4.1395048144333675,0.0008327195839961555,Diversified Financial Services,Distillers & Vintners,Financials,Consumer Staples
EMC-ETFC,EMC,ETFC,-4.1390120991610075,0.0008342975240616098,IT Consulting & Services,Diversified Financial Services,Information Technology,Financials
PPG-RHT,PPG,RHT,-4.138864677225329,0.0008347701933204872,Diversified Chemicals,Systems Software,Materials,Information Technology
AFL-MNST,AFL,MNST,-4.138151095716431,0.0008370616543890077,Life & Health Insurance,Soft Drinks,Financials,Consumer Staples
FDX-FSLR,FDX,FSLR,-4.137411760796623,0.0008394420356075248,Air Freight & Logistics,Heavy Electrical Equipment,Industrials,Industrials
BMS-PCP,BMS,PCP,-4.136484359082219,0.0008424368961133242,Paper Packaging,Industrial Conglomerates,Materials,Industrials
CCI-KORS,CCI,KORS,-4.136468685208264,0.0008424875977745828,Wireless Telecommunications Services,"Apparel, Accessories & Luxury Goods",Telecommunications Services,Consumer Discretionary
ADT-QEP,ADT,QEP,-4.136357877343253,0.0008428461193600761,Diversified Commercial Services,Oil & Gas Exploration & Production,Industrials,Energy
EMN-FLS,EMN,FLS,-4.136313495300388,0.0008429897586756952,Diversified Chemicals,Industrial Machinery,Materials,Industrials
QEP-ROK,QEP,ROK,-4.136038005949563,0.0008438818738394703,Oil & Gas Exploration & Production,Industrial Conglomerates,Energy,Industrials
QEP-UNH,QEP,UNH,-4.136010052332047,0.0008439724452864274,Oil & Gas Exploration & Production,Managed Health Care,Energy,Health Care
EW-LYB,EW,LYB,-4.135636079869335,0.0008451850160905081,Health Care Equipment & Services,Diversified Chemicals,Health Care,Materials
ADS-PLL,ADS,PLL,-4.135172928937393,0.0008466890039150824,Data Processing & Outsourced Services,Industrial Conglomerates,Information Technology,Industrials
MMM-SYY,MMM,SYY,-4.134278956442019,0.0008495990950911238,Industrial Conglomerates,Food Distributors,Industrials,Consumer Staples
PX-RRC,PX,RRC,-4.133330821465074,0.0008526957429975481,Industrial Gases,Oil & Gas Exploration & Production,Materials,Energy
EOG-RSG,EOG,RSG,-4.133280828602064,0.0008528593150614432,Oil & Gas Exploration & Production,Industrial Conglomerates,Energy,Industrials
DFS-NBL,DFS,NBL,-4.132986535357642,0.0008538228119991918,Consumer Finance,Oil & Gas Exploration & Production,Financials,Energy
AKAM-CTL,AKAM,CTL,-4.132985018560137,0.000853827780537733,Internet Software & Services,Integrated Telecommunications Services,Information Technology,Telecommunications Services
KO-PFG,KO,PFG,-4.13293418970159,0.00085399429512932,Soft Drinks,Diversified Financial Services,Consumer Staples,Financials
APC-FLR,APC,FLR,-4.132809409781229,0.0008544032014209862,Oil & Gas Exploration & Production,Diversified Commercial Services,Energy,Industrials
